page,date,operation,name,isin,quantity,price,currency
30,2025-10-13,BUY,VoyagerTechnologiesInc.,US92892B1035,10.0,32.17,USD
30,2025-10-13,BUY,NokiaOyj,FI0009000681,40.0,4.56,EUR
31,2024-11-26,BUY,PalantirTechnologiesInc.,US69608A1088,4.0,176.84,USD
31,2024-11-26,BUY,BroadcomInc.,US11135F1012,2.0,351.16,USD
32,2024-11-26,BUY,NovoNordiskBA/S,DK0062498333,2.0,375.7,DKK
32,2024-11-26,BUY,Amazon.comInc.,US0231351067,2.0,226.08,USD
32,2024-11-26,SELL,PalantirTechnologiesInc.,US69608A1088,4.0,175.37,USD
32,2024-11-26,DEPOSIT,Cash Deposit,,1.0,1000.0,EUR
33,2024-11-26,BUY,NokiaOyj,FI0009000681,40.0,4.54,EUR
33,2024-11-26,SELL,BroadcomInc.,US11135F1012,3.0,324.94,USD
33,2024-11-26,SELL,RealbotixCorp,CA75604K1075,700.0,0.6,CAD
34,2024-11-26,BUY,UnitedStatesAntimonyCorp.,US9115491030,10.0,12.0,USD
36,2025-09-18,BUY,UnitedStatesAntimonyCorp.,US9115491030,7.0,5.55,USD
36,2025-09-18,BUY,IntelCorp.,US4581401001,20.0,31.78,USD
37,2024-11-26,DEPOSIT,Cash Deposit,,1.0,500.0,EUR
37,2025-09-17,BUY,NioInc.-ADR,US62914V1061,30.0,7.23,USD
37,2025-09-17,BUY,PalantirTechnologiesInc.,US69608A1088,3.0,164.44,USD
38,2024-11-26,BUY,MetaPlatformsInc.,US30303M1027,1.0,769.7,USD
40,2024-11-26,BUY,OracleCorp.,US68389X1054,1.0,221.39,USD
40,2024-11-26,BUY,BroadcomInc.,US11135F1012,1.0,288.34,USD
40,2025-09-01,BUY,XtrackersAI&BigDataUCITSETF,IE00BGV5VN51,4.0,139.01,EUR
41,2024-11-26,DEPOSIT,Cash Deposit,,1.0,2000.0,EUR
41,2025-08-01,BUY,FerrariNV,NL0011585146,1.0,374.6,EUR
42,2024-11-26,BUY,AlibabaGroupHoldingLtd-ADR,US01609W1027,2.0,117.82,USD
42,2025-07-30,BUY,SolidPowerInc.,US83422N1054,50.0,3.27,USD
42,2025-07-29,SELL,QuantumComputingInc,US74766W1080,21.0,15.39,USD
43,2024-11-26,BUY,FirstTrustNasdaqCyberSecurityUCTISETF,IE00BF16M727,5.0,40.29,EUR
43,2024-11-26,BUY,SolidPowerInc.,US83422N1054,50.0,4.56,USD
44,2025-07-14,BUY,SolidPowerInc.,US83422N1054,50.0,2.43,USD
44,2025-07-14,BUY,D-WaveQuantumInc.,US26740W1099,10.0,15.02,USD
45,2024-11-26,BUY,XtrackersAI&BigDataUCITSETF,IE00BGV5VN51,4.0,137.31,EUR
46,2024-11-26,SELL,UnitedStatesAntimonyCorp.,US9115491030,75.0,2.09,USD
46,2024-11-26,SELL,AdvancedMicroDevicesInc.,US0079031078,2.0,137.0,USD
47,2025-06-27,REVERSE_SPLIT,Reverse Stock Split,US50125G3074,0.0,0.0,EUR
48,2025-06-23,REVERSE_SPLIT,Reverse Stock Split,US50125G3074,0.0,0.0,EUR
49,2025-06-11,BUY,iSharesCoreMSCIWorldUCITSETF,IE00B4L5Y983,5.0,100.74,EUR
49,2025-06-10,DEPOSIT,Cash Deposit,,1.0,2000.0,EUR
50,2024-11-26,SELL,D-WaveQuantumInc.,US26740W1099,11.0,17.27,USD
51,2024-11-26,BUY,EutelsatCommunications,FR0010221234,15.0,3.45,EUR
51,2025-05-20,BUY,OculusInc.,US67575Y1091,2000.0,0.06,CAD
51,2025-05-16,BUY,AlphabetInc.ClassA,US02079K3059,1.0,167.96,USD
52,2024-11-26,BUY,QualcommInc.,US7475251036,2.0,151.69,USD
52,2025-05-05,BUY,NVIDIACorp.,US67066G1040,1.0,113.82,USD
52,2025-05-05,BUY,PalantirTechnologiesInc.,US69608A1088,2.0,123.64,USD
53,2024-11-26,BUY,XPengInc.-ADR,US98422D1054,5.0,19.83,USD
53,2025-04-25,BUY,iSharesCoreMSCIWorldUCITSETF,IE00B4L5Y983,5.0,93.05,EUR
54,2024-11-26,BUY,XPengInc.-ADR,US98422D1054,4.0,20.5,USD
54,2024-11-26,DEPOSIT,Cash Deposit,,1.0,1500.0,EUR
56,2025-04-02,BUY,FirstTrustNasdaqCyberSecurityUCTISETF,IE00BF16M727,5.0,36.96,EUR
56,2025-04-02,BUY,CanopyGrowthCorp.,CA1380357048,50.0,1.41,CAD
57,2025-04-01,BUY,AdvancedMicroDevicesInc.,US0079031078,2.0,102.09,USD
58,2024-11-26,BUY,D-WaveQuantumInc.,US26740W1099,10.0,7.53,USD
58,2024-11-26,BUY,BroadcomInc.,US11135F1012,1.0,163.39,USD
59,2024-11-26,BUY,OracleCorp.,US68389X1054,1.0,138.04,USD
59,2025-03-27,BUY,RealbotixCorp,CA75604K1075,600.0,0.33,CAD
59,2025-03-24,DEPOSIT,Cash Deposit,,1.0,1000.0,EUR
