BROKER             | ASSET      | TICKER               | ISIN           |          QTY
BINANCE            | CRYPTO     | LAYER                | ---            |     1.401291
BINANCE            | CRYPTO     | LINEA                | ---            |    57.599474
BINANCE            | CRYPTO     | MEETONE              | ---            |     9.500100
BINANCE            | CRYPTO     | MIRA                 | ---            |     1.582895
BINANCE            | CRYPTO     | MITO                 | ---            |     1.175114
BINANCE            | CRYPTO     | MMT                  | ---            |     0.606188
BINANCE            | CRYPTO     | MORPHO               | ---            |     0.508118
BINANCE            | CRYPTO     | NEWT                 | ---            |     0.960082
BINANCE            | CRYPTO     | OM                   | ---            |     0.000010
BINANCE            | CRYPTO     | OPEN                 | ---            |     0.788880
BINANCE            | CRYPTO     | PEPE                 | ---            | 15415.870000
BINANCE            | CRYPTO     | PIXEL                | ---            |     1.744839
BINANCE            | CRYPTO     | PLUME                | ---            |    11.766187
BINANCE            | CRYPTO     | RESOLV               | ---            |     1.517783
BINANCE            | CRYPTO     | SAHARA               | ---            |     9.596438
BINANCE            | CRYPTO     | SAPIEN               | ---            |     1.209578
BINANCE            | CRYPTO     | SBTC                 | ---            |     0.000168
BINANCE            | CRYPTO     | SHELL                | ---            |     1.968073
BINANCE            | CRYPTO     | SIGN                 | ---            |     0.000095
BINANCE            | CRYPTO     | SOMI                 | ---            |     2.344926
BINANCE            | CRYPTO     | SOPH                 | ---            |    11.215392
BINANCE            | CRYPTO     | SPK                  | ---            |    15.339774
BINANCE            | CRYPTO     | TON                  | ---            |    10.375328
BINANCE            | CRYPTO     | TOWNS                | ---            |    24.358736
BINANCE            | CRYPTO     | TREE                 | ---            |     0.996130
BINANCE            | CRYPTO     | TURTLE               | ---            |     0.804035
BINANCE            | CRYPTO     | W                    | ---            |     1.136775
BINANCE            | CRYPTO     | WAL                  | ---            |     2.540260
BINANCE            | CRYPTO     | XPL                  | ---            |     5.974996
BINANCE            | CRYPTO     | YB                   | ---            |     0.795308
BINANCE            | CRYPTO     | ZBT                  | ---            |     1.201816
BINANCE            | CRYPTO     | ZKC                  | ---            |     1.185578
--- IBKR ---
IBKR               | CURRENCY   | EUR                  | ---            |   128.784322
IBKR               | STOCK      | 3CP                  | KYG9830T1067   |    50.000000
IBKR               | STOCK      | RGTI                 | US76655K1034   |     3.000000
--- REVOLUT ---
REVOLUT            | COMMODITY  | XAG                  | ---            |     3.387456
REVOLUT            | COMMODITY  | XAU                  | ---            |     0.193980
REVOLUT            | CRYPTO     | 1INCH                | ---            |     4.968716
REVOLUT            | CRYPTO     | AVAX                 | ---            |     0.038601
REVOLUT            | CRYPTO     | BTC                  | ---            |     0.001390
REVOLUT            | CRYPTO     | DOT                  | ---            |    15.580059
REVOLUT            | CRYPTO     | ETH                  | ---            |     0.009166
REVOLUT            | CRYPTO     | MANA                 | ---            |     6.896549
REVOLUT            | CRYPTO     | MATIC                | ---            |     2.777284
REVOLUT            | CRYPTO     | POL                  | ---            |   136.643234
REVOLUT            | CRYPTO     | SAND                 | ---            |     2.241045
REVOLUT            | CRYPTO     | SOL                  | ---            |     0.045190
REVOLUT            | CRYPTO     | XLM                  | ---            |     8.715731
REVOLUT            | STOCK      | BIDU                 | US0567521085   |     3.000000
REVOLUT            | STOCK      | BP                   | US0556221044   |     5.000000
REVOLUT            | STOCK      | GOOGL                | US02079K3059   |     2.000000
--- SCALABLE_CAPITAL ---
SCALABLE_CAPITAL   | STOCK      | BAIDU INC. O.N.      | KYG070341048   |     8.000000
SCALABLE_CAPITAL   | STOCK      | BYD CO. LTD ADR/2 YC | US05606L1008   |     3.000000
SCALABLE_CAPITAL   | STOCK      | D-WAVE QUANTUM DL-,0 | US26740W1099   |     2.000000
SCALABLE_CAPITAL   | STOCK      | ESSILORLUXOTTICA 1/2 | US2972842007   |     4.000000
