BROKER             | ASSET      | TICKER               | ISIN           | CUR |    AVG_PRC |          QTY
BINANCE            | CRYPTO     | BTC                  | ---            | EUR | 62184.3929 |     0.005000
BINANCE            | CRYPTO     | C                    | ---            | EUR |     0.2418 |     1.530180
BINANCE            | CRYPTO     | DOLO                 | ---            | EUR |     0.2213 |     1.175109
BINANCE            | CRYPTO     | DYM                  | ---            | EUR |     0.2502 |     0.000044
BINANCE            | CRYPTO     | EDEN                 | ---            | EUR |     0.3558 |     1.180295
BINANCE            | CRYPTO     | ENSO                 | ---            | EUR |     2.1644 |     0.138604
BINANCE            | CRYPTO     | EON                  | ---            | EUR |     0.0000 |    19.000200
BINANCE            | CRYPTO     | EOP                  | ---            | EUR |     0.0000 |    19.000200
BINANCE            | CRYPTO     | ERA                  | ---            | EUR |     1.5709 |     1.534127
BINANCE            | CRYPTO     | ETH                  | ---            | EUR |  3083.1610 |     0.218404
BINANCE            | CRYPTO     | EUL                  | ---            | EUR |     8.2109 |     0.042626
BINANCE            | CRYPTO     | EUR                  | ---            | EUR |     0.3193 |     5.908910
BINANCE            | CRYPTO     | FET                  | ---            | EUR |     1.2953 |   111.166600
BINANCE            | CRYPTO     | FF                   | ---            | EUR |     0.1760 |    11.934726
BINANCE            | CRYPTO     | HBAR                 | ---            | EUR |     0.1712 |   794.494000
BINANCE            | CRYPTO     | HEMI                 | ---            | EUR |     0.1577 |     7.925470
BINANCE            | CRYPTO     | HOLO                 | ---            | EUR |     0.3975 |     2.440467
BINANCE            | CRYPTO     | HOME                 | ---            | EUR |     0.0243 |    15.239881
BINANCE            | CRYPTO     | HUMA                 | ---            | EUR |     0.0549 |    14.753230
BINANCE            | CRYPTO     | IO                   | ---            | EUR |     5.2304 |     1.273320
BINANCE            | CRYPTO     | IOTA                 | ---            | EUR |     0.2112 |   807.074312
BINANCE            | CRYPTO     | KITE                 | ---            | EUR |     0.0629 |     9.537293
BINANCE            | CRYPTO     | LA                   | ---            | EUR |     0.3898 |     1.154548
BINANCE            | CRYPTO     | LAYER                | ---            | EUR |     0.7279 |     1.401291
BINANCE            | CRYPTO     | LINEA                | ---            | EUR |     0.0215 |    57.599474
BINANCE            | CRYPTO     | MEETONE              | ---            | EUR |     0.0000 |     9.500100
BINANCE            | CRYPTO     | MIRA                 | ---            | EUR |     1.1245 |     1.582895
BINANCE            | CRYPTO     | MITO                 | ---            | EUR |     0.2127 |     1.175114
BINANCE            | CRYPTO     | MMT                  | ---            | EUR |     2.4250 |     0.606188
BINANCE            | CRYPTO     | MORPHO               | ---            | EUR |     1.7122 |     0.508118
BINANCE            | CRYPTO     | NEWT                 | ---            | EUR |     0.3958 |     0.960082
BINANCE            | CRYPTO     | OM                   | ---            | EUR |     4.5474 |     0.000010
BINANCE            | CRYPTO     | OPEN                 | ---            | EUR |     1.3183 |     0.788880
BINANCE            | CRYPTO     | PEPE                 | ---            | EUR |     0.0000 | 15415.870000
BINANCE            | CRYPTO     | PIXEL                | ---            | EUR |     0.0294 |     1.744839
BINANCE            | CRYPTO     | PLUME                | ---            | EUR |     0.0739 |    11.766187
BINANCE            | CRYPTO     | RESOLV               | ---            | EUR |     0.2504 |     1.517783
BINANCE            | CRYPTO     | SAHARA               | ---            | EUR |     0.0875 |     9.596438
BINANCE            | CRYPTO     | SAPIEN               | ---            | EUR |     0.2480 |     1.209578
